Method,Demo,Level,Time,Success,Deformation,Actions
rrt_star,ClothPushPPP,easy,17.672187066666666,1.0,0.007809939553908338,3.6
rrt_star,ClothPushPPP,median,23.933186733333336,1.0,0.02805359810187085,4.7
rrt_star,ClothPushPPP,hard,18.1079923,1.0,0.02174124270571381,4.6
rrt_star,PantsPushPPP,easy,23.63126016666667,0.9666666666666667,0.04271798646094236,5.133333333333334
rrt_star,PantsPushPPP,median,35.37782286666667,0.9333333333333333,0.0798193203713369,6.966666666666667
rrt_star,PantsPushPPP,hard,44.846893699999995,0.8666666666666667,0.06997259152353172,7.033333333333333
rrt_star_refinement,ClothPushPPP,easy,21.861928000000002,1.0,0.005187368491122808,5.266666666666667
rrt_star_refinement,ClothPushPPP,median,29.894079600000005,1.0,0.018913400556264597,7.066666666666666
rrt_star_refinement,ClothPushPPP,hard,24.476687066666667,1.0,0.013971821072279319,7.433333333333334
rrt_star_refinement,PantsPushPPP,easy,28.48331466666667,1.0,0.022032858898269527,6.8
rrt_star_refinement,PantsPushPPP,median,40.93625146666667,1.0,0.04667758421631405,9.366666666666667
rrt_star_refinement,PantsPushPPP,hard,51.21340573333334,1.0,0.05526188438255044,9.4
p2p,ClothPushPPP,easy,19.143328333333336,1.0,0.016046917265466684,3.433333333333333
p2p,ClothPushPPP,median,22.933916466666673,1.0,0.0477789045443094,3.933333333333333
p2p,ClothPushPPP,hard,17.654887166666672,1.0,0.06014233103977944,4.0
p2p,PantsPushPPP,easy,32.993048800000004,0.7333333333333333,0.07762862396855305,7.033333333333333
p2p,PantsPushPPP,median,46.66270673333333,0.5333333333333333,0.2110342971117074,8.066666666666666
p2p,PantsPushPPP,hard,65.0137926,0.26666666666666666,0.2209255239600572,8.8
